NPCIndex,Dialogue,ProgressLevel
0,Did you see the news?,0
0,"I mean ... it sucks for them, but why didn't they just come here the right way?",0
0,"It really can't be that hard, I know people who are here legally. Why can't they all just be like that!",0
1,"Dude you better watch out haha, aren't you Mexican?",0
1,"If you're not careful, Trump's gonna send you back with the rest of 'em!",0
1,What? It's just a joke.,0
2,"Everyone is talking about the news, but it really shouldn't be surprising to anyone...",0
2,"All these illegals coming in and reaping all the benefits for the wrong reasons, it's about time if you ask me!",0
2,I hope Trump keeps it up and gets that wall built on the border. We gotta keep all these criminals out!,0
3,I heard ICE is more active nowadays.,0
3,"If I were you, I'd be careful, aren't you ... y'know.",0
